adm1_name,Area,Lat,Lon,Waterways,population,Easting,Northing,MPI,MPI_incidence,MPI_intensity,Muslim
Barh El Gazal,50420.65961889252,14.420334714815786,16.883105466161155,12.96653130358895,412808,703015.1959992314,1595045.0925462649,61.56,93.5,65.8,0.9905369121803425
Batha,91418.04061857608,13.98077663316668,18.79418577151291,1539.587833068499,763062,910037.6591252958,1548883.857742729,65.19,95.1,68.5,0.9909749268361864
Borkou,149011.57970313347,17.175540400772796,18.248339211876303,109.2860942468595,159353,845594.1378679484,1901869.516911494,57.17,92.3,61.9,0.9864181545513104
Chari Baguirmi,45836.14870575326,11.23008018997673,16.333397020126796,2813.839424647221,918084,645563.5037682123,1241749.609527337,58.74,93.7,62.7,0.8888910584474482
Ennedi Est,85100.79451346552,17.77278249132125,23.12811805297055,310.4951819436847,174805,1363934.162426128,1983842.685696148,65.98,98.1,67.2,0.975641444086694
Ennedi Ouest,125456.72323287406,18.407000365092284,21.140289018513567,372.5026983611954,99126,1149521.9349033525,2046235.3060860073,60.24,93.4,64.5,0.6679562514463174
Guera,61231.73428419869,11.48897732963405,18.632062291833673,41.41187048983372,709893,896358.2185557571,1272551.5160143822,56.44,89.1,63.4,0.9634352945501004
Hadjer Lamis,30673.62417193055,12.549855100889378,16.190123739577764,573.1365826929848,908127,629295.7526888064,1387648.559872878,63.480000000000004,95.9,66.2,0.98141307925909
Kanem,71279.94449071848,15.14511951965089,15.363287344377488,15.084036525587159,550092,539029.8650598542,1674409.2867537967,67.58999999999999,99.3,68.1,0.9943366883258382
Lac,19766.54711935399,13.664233436503046,14.37872023404882,4902.245448511243,705362,432810.0714493876,1510678.758543097,65.85,96.3,68.3,0.992216521404828
Logone Occidental,8857.071672442999,8.765163497753147,15.86331150343725,301.9614871210299,1115244,594953.8633452057,968998.4888934135,47.699999999999996,81.5,58.5,0.0821666945884069
Logone Oriental,23715.049263309083,8.203630645899008,16.406654147724055,4793.540046863358,1239738,654949.2863904994,907081.0949338841,44.7,80.3,55.7,0.054487229178723
Mandoul,17428.173942520014,8.691032953636432,17.607807396849594,2096.8729033215636,1025580,786968.7848542873,961681.2595633558,47.69,83.7,57.0,0.082513149886742
Mayo Kebbi Est,18129.43566661424,10.196655136061583,15.545987388688092,3647.8065552133594,1264762,559802.290306212,1127205.947385157,44.230000000000004,80.4,55.0,0.1020179595959691
Mayo Kebbi Ouest,12511.666508680206,9.336886914225854,14.749360821536243,83.60632435922491,932156,472477.12568974844,1032107.5661558561,41.120000000000005,76.4,53.8,0.1001777685053436
Moyen Chari,41535.88676018672,9.428895129802369,18.64735188344894,2331.884449184267,969006,900669.5133635855,1044361.5359058569,39.94,73.2,54.5,0.2306578652070045
Ndjamzna,435.23075751998874,12.130481302815308,15.060578147328648,176.03909684926637,1801264,506591.2944374181,1340982.8022529033,20.39,42.5,47.9,0.5807841446670639
Ouaddai,41056.353572337415,13.179774026519965,20.96401446300416,3919.591489722738,1168288,1147332.2989530277,1464718.6277944464,61.44,90.5,67.9,0.995386093795476
Salamat,68441.37846471094,10.808049088469195,20.58218622861414,501.5729155269676,496719,1111116.0476084598,1200351.0433278799,61.12,94.3,64.8,0.9905091736956388
Sila,25163.997904266147,12.118547791529348,21.884642025381172,1899.260627116589,645792,1250786.739092026,1349165.8789416593,66.12,97.3,68.0,0.9895471995323408
Tandjile,17495.952982746185,9.538531623355318,16.481234444250262,874.1371428541321,1104153,662577.6839462098,1054739.919185082,47.64,82.3,57.9,0.057955240919874
Tibesti,214479.15434846235,20.712403555692966,17.52702257613536,296.18578431581795,42784,763194.6627088113,2292372.786957347,,,,0.6679562514463174
Wadi Fira,52240.51943468227,14.994974271534971,21.48093032510404,245.75012151628508,827551,1198063.4155184263,1668016.8113591096,66.10000000000001,95.5,69.2,0.9970146811582464
